digitSize,calcRule,layerCount,trainingSize,hiddenSize,epochSize,modelID,Final Training Loss,Final Training Accuracy,Final Validation Accuracy,Final Test Accuracy
3,minus,1,1,128,100,1,[1.2083943802515666],[0.5357963000933329],[0.4366666705608368],0.026013006503251626
3,minusSum,3,1,128,500,0,[0.0007685258225020435],[0.999875],[0.9869999995231629],0.9549774887443722
